    OPEN     |       WRITE     |       READ      |      CLOSE
0.000019     |   0.000018      |   0.000100      |      0.000000
0.000011     |   0.000009      |   0.000059      |      0.000000
0.000009     |   0.000007      |   0.000035      |      0.000000
0.000010     |   0.000007      |   0.000032      |      0.000000
0.000010     |   0.000008      |   0.000033      |      0.000000
0.000009     |   0.000007      |   0.000033      |      0.000000
0.000009     |   0.000008      |   0.000032      |      0.000000
0.000010     |   0.000007      |   0.000034      |      0.000000
0.000009     |   0.000007      |   0.000038      |      0.000000
0.000009     |   0.000007      |   0.000028      |      0.000000
